esntl_no,elsm_nm,schl_nm,fdtn_sctn_dscnt,tot_po,ten_und_po,hshld_co,examin_mt,examin_dt,ave_fnds,qltwtr_poll_entrps_co,addr_1,addr_2
4527,유치원,인천주원초등학교병설유,공립,315435,8561,46215,11,1,28.18601937,6,인천광역시,남동구
45271,어린이집,하늘소자연과학어린이집,사립,74619,2812,11846,11,1,28.18601937,0,울산광역시,울주군
45272,어린이집,아낌없이주는나무어린이,사립,86427,2732,10362,11,1,28.18601937,2,울산광역시,울주군
45274,어린이집,온산금잔디어린이집,사립,86427,2732,10362,11,1,28.18601937,1,울산광역시,울주군
45275,어린이집,덕신어린이집,사립,86427,2732,10362,11,1,28.18601937,0,울산광역시,울주군
45276,어린이집,두산위브어린이집,사립,89132,2646,11810,11,1,28.18601937,0,울산광역시,울주군
4528,유치원,프라임명지유치원,사립,315435,8561,46215,11,1,28.18601937,1,인천광역시,남동구
45281,어린이집,팡팡어린이집,사립,89132,2646,11810,11,1,28.18601937,1,울산광역시,울주군
45283,어린이집,옹알스어린이집,사립,26066,432,3961,11,1,28.18601937,0,울산광역시,울주군
45284,어린이집,삼성SDI울산어린이집,사립,51718,1300,9731,11,1,28.18601937,0,울산광역시,울주군
45285,어린이집,아너스빌어린이집,사립,89132,2646,11810,11,1,28.18601937,0,울산광역시,울주군
45286,어린이집,서생해바라기어린이집,사립,24413,542,4321,11,1,28.18601937,0,울산광역시,울주군
45287,어린이집,혜윰어린이집,사립,89132,2646,11810,11,1,28.18601937,0,울산광역시,울주군
45288,어린이집,동원키즈어린이집,사립,86427,2732,10362,11,1,28.18601937,2,울산광역시,울주군
4529,어린이집,엄지어린이집,사립,60718,1777,8371,11,1,28.18601937,2,경기도,남양주시
45346,어린이집,크니크니어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45291,어린이집,LG하우시스온양어린이집,사립,74619,2812,11846,11,1,28.18601937,0,울산광역시,울주군
45292,어린이집,오즈슐레어린이집,사립,74619,2812,11846,11,1,28.18601937,1,울산광역시,울주군
45293,어린이집,UNIST어린이집,사립,89132,2646,11810,11,1,28.18601937,0,울산광역시,울주군
45295,어린이집,한수원 해오름어린이집,사립,24413,542,4321,11,1,28.18601937,0,울산광역시,울주군
45296,어린이집,휴플러스어린이집,사립,89132,2646,11810,11,1,28.18601937,0,울산광역시,울주군
4530,유치원,인천성리초등학교병설유,공립,398889,13435,58370,11,1,28.18601937,2,인천광역시,남동구
45305,어린이집,두서어린이집,사립,9819,107,1798,11,1,28.18601937,2,울산광역시,울주군
45315,어린이집,도호어린이집,사립,51718,1300,9731,11,1,28.18601937,0,울산광역시,울주군
45316,어린이집,구립 장미어린이집,사립,18824,289,3461,11,1,28.18601937,3,인천광역시,중구
45319,어린이집,중부어린이집,사립,17652,330,2790,11,1,28.18601937,4,인천광역시,중구
4532,어린이집,더(The)꿈 어린이집,사립,282810,12254,36599,11,1,28.18601937,3,경기도,남양주시
4532,유치원,인천인동초등학교병설유,공립,396219,11608,51845,11,1,28.18601937,3,인천광역시,남동구
45320,어린이집,구립 찬솔어린이집,사립,39758,741,6278,11,1,28.18601937,3,인천광역시,중구
45322,어린이집,구립 비둘기어린이집,사립,12348,164,1632,11,1,28.18601937,1,인천광역시,중구
45323,어린이집,인천신광초등학교어린이,사립,44760,1368,6126,11,1,28.18601937,2,인천광역시,중구
45324,어린이집,지영어린이집,사립,44760,1368,6126,11,1,28.18601937,5,인천광역시,중구
45325,어린이집,도원어린이집,사립,14062,266,2063,11,1,28.18601937,1,인천광역시,중구
45326,어린이집,세연어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45327,어린이집,양문선교어린이집,사립,18824,289,3461,11,1,28.18601937,4,인천광역시,중구
45328,어린이집,상아어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45329,어린이집,경동키즈 어린이집,사립,12463,240,1920,11,1,28.18601937,2,인천광역시,중구
4533,유치원,인천장수초등학교병설유,공립,396219,11608,51845,11,1,28.18601937,2,인천광역시,남동구
45330,어린이집,동심어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45331,어린이집,사랑어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45332,어린이집,섭리어린이집,사립,15972,383,2168,11,1,28.18601937,1,인천광역시,중구
45333,어린이집,송월어린이집,사립,15972,383,2168,11,1,28.18601937,3,인천광역시,중구
45334,어린이집,유정예능어린이집,사립,12348,164,1632,11,1,28.18601937,2,인천광역시,중구
45335,어린이집,예크어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45336,어린이집,흰돌어린이집,사립,83393,2831,17641,11,1,28.18601937,1,인천광역시,중구
45338,어린이집,꿈꾸는 아이들 어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45339,어린이집,씩씩한어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
4534,유치원,인천축현초등학교병설유,공립,134867,4261,16111,11,1,28.18601937,2,인천광역시,연수구
45340,어린이집,행복 어린이집,사립,15972,383,2168,11,1,28.18601937,3,인천광역시,중구
45341,어린이집,보물단지어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45342,어린이집,튼튼어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45344,어린이집,한별어린이집,사립,44760,1368,6126,11,1,28.18601937,1,인천광역시,중구
45345,어린이집,즐거운어린이집,사립,14062,266,2063,11,1,28.18601937,5,인천광역시,중구
45347,어린이집,이지어린이집,사립,34796,672,5629,11,1,28.18601937,0,인천광역시,중구
45348,어린이집,포근한어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45349,어린이집,뽀뽀뽀어린이집,사립,14062,266,2063,11,1,28.18601937,6,인천광역시,중구
4535,유치원,인천신월초등학교병설유,공립,398889,13435,58370,11,1,28.18601937,3,인천광역시,남동구
45350,어린이집,햇살어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45351,어린이집,행복한어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45352,어린이집,참빛어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45353,어린이집,구립 갈매기어린이집,사립,14062,266,2063,11,1,28.18601937,2,인천광역시,중구
45354,어린이집,초록어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45355,어린이집,조은어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45356,어린이집,참예쁜어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45357,어린이집,나래어린이집,사립,44760,1368,6126,11,1,28.18601937,2,인천광역시,중구
45361,어린이집,정다운어린이집,사립,44760,1368,6126,11,1,28.18601937,1,인천광역시,중구
45362,어린이집,구립 태양어린이집,사립,44760,1368,6126,11,1,28.18601937,3,인천광역시,중구
45363,어린이집,현대키즈어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45365,어린이집,소망어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45366,어린이집,천사어린이집,사립,39758,741,6278,11,1,28.18601937,3,인천광역시,중구
45367,어린이집,표현어린이집,사립,39758,741,6278,11,1,28.18601937,3,인천광역시,중구
45368,어린이집,쑥쑥어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45369,어린이집,아이조아어린이집,사립,44760,1368,6126,11,1,28.18601937,0,인천광역시,중구
45370,어린이집,산들어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45371,어린이집,바다의별어린이집,사립,39758,741,6278,11,1,28.18601937,3,인천광역시,중구
45372,어린이집,햇살가득어린이집,사립,39758,741,6278,11,1,28.18601937,3,인천광역시,중구
45373,어린이집,꽃이랑나비랑어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45375,어린이집,한울어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45377,어린이집,구립 바다어린이집,사립,12269,140,2657,11,1,28.18601937,0,인천광역시,중구
45378,어린이집,인천공항어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
4538,유치원,인천먼우금초등학교병설,공립,176838,6887,29478,11,1,28.18601937,3,인천광역시,연수구
4539,유치원,인천신송초등학교병설유,공립,176838,6887,29478,11,1,28.18601937,0,인천광역시,연수구
4542,어린이집,올리브어린이집,사립,282810,12254,36599,11,1,28.18601937,1,경기도,남양주시
45430,어린이집,공항꿈나무제1어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
4544,유치원,아이큰별유치원,사립,398889,13435,58370,11,1,28.18601937,10,인천광역시,남동구
45462,어린이집,공항꿈나무제2어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45468,어린이집,다원어린이집,사립,83393,2831,17641,11,1,28.18601937,0,인천광역시,중구
45487,어린이집,백합어린이집,사립,83398,2508,10755,11,1,28.18601937,15,인천광역시,동구
45488,어린이집,동산어린이집,사립,83398,2508,10755,11,1,28.18601937,1,인천광역시,동구
4549,유치원,청학숲유치원,사립,89480,2156,12434,11,1,28.18601937,5,인천광역시,연수구
455,어린이집,늘사랑어린이집,사립,82907,3974,17160,11,1,28.18601937,0,강원도,원주시
4550,유치원,동화나라유치원,사립,167375,5417,21369,11,1,28.18601937,5,인천광역시,연수구
4551,유치원,연수유치원,사립,210080,5652,27428,11,1,28.18601937,2,인천광역시,연수구
45512,어린이집,명성어린이집,사립,83398,2508,10755,11,1,28.18601937,0,인천광역시,동구
45513,어린이집,정원어린이집,사립,83398,2508,10755,11,1,28.18601937,1,인천광역시,동구
45518,어린이집,해아어린이집,사립,83398,2508,10755,11,1,28.18601937,19,인천광역시,동구
4552,유치원,사랑유치원,사립,61216,1254,8056,11,1,28.18601937,2,인천광역시,연수구
45520,어린이집,하나어린이집,사립,83398,2508,10755,11,1,28.18601937,19,인천광역시,동구
45521,어린이집,풍림미소어린이집,사립,83398,2508,10755,11,1,28.18601937,19,인천광역시,동구
45522,어린이집,보물섬어린이집,사립,83398,2508,10755,11,1,28.18601937,19,인천광역시,동구
45526,어린이집,송림휴먼시아어린이집,사립,83398,2508,10755,11,1,28.18601937,20,인천광역시,동구
45527,어린이집,해달별어린이집,사립,83398,2508,10755,11,1,28.18601937,20,인천광역시,동구
4553,어린이집,선재어린이집,사립,282810,12254,36599,11,1,28.18601937,1,경기도,남양주시
4553,유치원,부광예능유치원,사립,167375,5417,21369,11,1,28.18601937,1,인천광역시,연수구
4554,유치원,해와달유치원,사립,74935,2095,9045,11,1,28.18601937,5,인천광역시,남동구
4555,유치원,한울유치원,사립,210080,5652,27428,11,1,28.18601937,0,인천광역시,연수구
4556,유치원,신도유치원,사립,210080,5652,27428,11,1,28.18601937,0,인천광역시,연수구
4557,유치원,큰별유치원,사립,167375,5417,21369,11,1,28.18601937,0,인천광역시,연수구
4558,유치원,인보유치원,사립,210080,5652,27428,11,1,28.18601937,0,인천광역시,연수구
4559,유치원,아름솔유치원,사립,167375,5417,21369,11,1,28.18601937,2,인천광역시,연수구
4560,유치원,새싹유치원,사립,134867,4261,16111,11,1,28.18601937,6,인천광역시,연수구
4561,유치원,해나라유치원,사립,210080,5652,27428,11,1,28.18601937,2,인천광역시,연수구
4562,유치원,인천구월유치원,공립,398889,13435,58370,11,1,28.18601937,0,인천광역시,남동구
4563,유치원,온누리비전유치원,사립,134867,4261,16111,11,1,28.18601937,5,인천광역시,연수구
4564,유치원,송도국제유치원,사립,176838,6887,29478,11,1,28.18601937,2,인천광역시,연수구
4565,유치원,참아름유치원,사립,134867,4261,16111,11,1,28.18601937,2,인천광역시,연수구
4566,유치원,꿈동산유치원,사립,89480,2156,12434,11,1,28.18601937,2,인천광역시,연수구
4567,유치원,청송유치원,사립,167375,5417,21369,11,1,28.18601937,1,인천광역시,연수구
4568,유치원,새하늘유치원,사립,210080,5652,27428,11,1,28.18601937,0,인천광역시,연수구
4569,유치원,다샘유치원,사립,167375,5417,21369,11,1,28.18601937,2,인천광역시,연수구
